pitcher,pitcher_name,year,pitch_hand,n_pitches,team_id,ball_angle,relative_release_ball_x,release_ball_z,relative_shoulder_x,shoulder_z,role,games_started,games_relieved,total_pitches,total_pa,k_percent,bb_percent,whiff_percent,barrel_percent,hard_hit_percent,woba,xwoba
548384,"Raley, Brooks",2020,L,432,117,37,1.8293373520505365,5.8298282179901975,0.0230947058853002,4.455093142193852,Reliever,0,21,336,84,32.142857142857146,7.142857142857142,31.736526946107784,8.51063829787234,21.27659574468085,0.27729761904761907,0.2728510602409638
596001,"Junis, Jakob",2020,R,392,118,35,-1.883054968183131,5.962861619949225,-0.0180121705175576,4.652331114614675,Starter,6,2,394,114,16.666666666666664,4.385964912280701,20.3125,8.045977011494253,35.63218390804598,0.3973947368421053,0.3574994732142857
664353,"Urquidy, José",2020,R,626,117,53,-1.2891160348153865,6.243864145387106,0.0411988372149251,4.490616882767554,Starter,5,0,429,116,13.793103448275861,6.896551724137931,20.909090909090907,6.666666666666667,38.88888888888889,0.262801724137931,0.3476254869565217
621345,"Minter, A.J.",2020,L,429,144,36,1.765289672726543,5.443709199338048,0.0410921841304862,4.168326888394954,Reliever,0,22,397,83,28.915662650602407,8.433734939759036,29.081632653061224,3.8461538461538463,23.076923076923077,0.2569759036144578,0.26356923170731705
624418,"Castellani, Ryan",2020,R,401,115,23,-2.6277568968858898,5.379110649235186,-0.3841948573780566,4.411309585759547,Starter,9,1,757,189,12.698412698412698,13.756613756613756,24.922118380062305,7.518796992481203,45.11278195488722,0.3744021164021164,0.4064883650793651
642083,"Slegers, Aaron",2020,R,459,139,42,-2.019905020332747,6.266620664189119,-0.1244830328547046,4.575781834199909,Reliever,1,10,387,100,19.0,3.0,22.274881516587676,2.666666666666667,28.000000000000004,0.20898,0.2672713298969072
548389,"Stripling, Ross",2020,R,577,141,64,-0.8664820341811899,7.015149059847738,0.1777854063941632,4.896853732901779,Starter,9,3,815,220,18.181818181818183,8.181818181818182,18.803418803418804,10.559006211180124,39.130434782608695,0.36923181818181816,0.3844467023255814
592426,"Jackson, Luke",2020,R,450,144,49,-1.2870453201746914,6.4015736897307525,0.2537951827090935,4.641929221613901,Reliever,0,19,488,132,15.151515151515152,9.848484848484848,23.076923076923077,3.0927835051546393,37.11340206185567,0.370810606060606,0.32814831297709923
570666,"Cessa, Luis",2020,R,357,147,50,-0.8779465694248951,6.075905016469332,0.6378359104871896,4.246816311234832,Reliever,0,16,360,93,17.20430107526882,7.526881720430108,27.74566473988439,4.411764705882353,42.64705882352941,0.29623655913978497,0.30815953260869566
656427,"Flaherty, Jack",2020,R,818,138,30,-1.8092175396262449,5.494200107216844,0.1765800099489118,4.334609815603087,Starter,9,0,719,170,28.823529411764703,9.411764705882353,34.36532507739938,6.862745098039216,32.35294117647059,0.2970764705882353,0.34090121301775145
