pitcher,pitcher_name,year,pitch_hand,n_pitches,team_id,ball_angle,relative_release_ball_x,release_ball_z,relative_shoulder_x,shoulder_z,role,games_started,games_relieved,total_pitches,total_pa,k_percent,bb_percent,whiff_percent,barrel_percent,hard_hit_percent,xwoba
605483,"Snell, Blake",2022,L,2616,135,55,1.2137896583245271,6.575366879100215,-0.1693352762310094,4.622957505164987,Starter,24,0,2341,536,31.902985074626866,9.514925373134329,32.79857397504456,7.395498392282958,39.549839228295816,0.27895013108614236
500779,"Quintana, Jose",2022,L,2797,138,44,1.6971292626357783,5.803723640940731,0.131373501370516,4.265191632204608,Starter,32,0,2724,679,20.176730486008836,6.774668630338733,23.754789272030653,5.4989816700611,35.84521384928717,0.3044589346210996
572971,"Keuchel, Dallas",2022,L,1164,140,44,1.664212607881446,6.095296729691706,0.0795075221591291,4.5515045603089685,Starter,14,0,1165,303,14.521452145214523,9.570957095709572,22.285714285714285,8.81057268722467,39.20704845814978,0.35644377408637873
571948,"Milner, Hoby",2022,L,1088,158,-1,2.8499311562036884,4.42193655846799,0.597448379747956,4.478743552168528,Reliever,0,67,1088,273,23.44322344322344,5.4945054945054945,23.451327433628318,3.225806451612903,33.33333333333333,0.28670873977695166
666157,"Lodolo, Nick",2022,L,1681,113,19,2.729921833192156,5.45489045977864,0.4219751233509467,4.639659456693823,Starter,19,0,1779,442,29.638009049773757,8.823529411764707,30.223880597014922,9.126984126984127,38.492063492063494,0.30838188056206084
623149,"Sewald, Paul",2022,R,1043,136,15,-2.527810142361876,4.48959170669501,-0.5502452525366462,3.965469828651412,Reliever,0,65,974,241,29.87551867219917,5.809128630705394,34.029227557411275,9.395973154362416,33.557046979865774,0.25334146218487397
660271,"Ohtani, Shohei",2022,R,2629,108,39,-1.851968843581373,5.914559359122843,-0.1138743370428153,4.527583777135465,Starter,28,0,2629,661,33.13161875945537,6.656580937972769,33.022533022533025,6.345177664974619,33.24873096446701,0.2555731945288754
663855,"Hicks, Jordan",2022,R,1075,138,35,-2.060903782850353,5.97605404910342,-0.2264434026447788,4.689285928201299,Reliever,8,27,1051,263,23.954372623574145,13.307984790874524,24.03628117913832,6.962025316455696,32.278481012658226,0.30712847126436776
666159,"Manning, Matt",2022,R,989,116,48,-1.4908055061737575,5.719560031739276,-0.0945437653763591,4.144778287814807,Starter,12,0,990,263,18.250950570342205,7.224334600760455,22.35772357723577,6.153846153846154,36.92307692307693,0.30953744866920146
605488,"Springs, Jeffrey",2022,L,2134,139,44,1.4805501285282945,6.0668355112733545,-0.0940131896449471,4.546989868557117,Starter,25,8,2149,551,26.13430127041742,5.626134301270418,29.509713228492135,5.929919137466308,37.735849056603776,0.282152521978022
