"pitcher","pitcher_name","year","pitch_hand","n_pitches","team_id","ball_angle","relative_release_ball_x","release_ball_z","relative_shoulder_x","shoulder_z"
621111,"Buehler, Walker",2022,"R",1046,119,46,-1.4660220536052262,5.551433516447045,-0.04126824350807592,4.095947804129474
676664,"Sears, JP",2022,"L",1078,133,22,2.184476177988019,4.9133101985149334,0.21209846781687888,4.125506267052277
621112,"Blackburn, Paul",2022,"R",1761,133,50,-1.3514283977879695,5.964208262617084,0.10255729633239921,4.232492371960914
621368,"Hearn, Taylor",2022,"L",1773,140,36,2.0059550950023857,6.272430344700355,0.01796325990068897,4.8223958016011625
605242,"Fulmer, Michael",2022,"R",1042,142,39,-1.721079630327787,5.9249959269063925,0.018782491335393007,4.536866643401389
650556,"Abreu, Bryan",2022,"R",1184,117,40,-1.707359727615378,5.7663370009099815,0.029406124590499592,4.29547473781435
661309,"Martinez, Adrián",2022,"R",1015,133,18,-2.322089846959214,5.578260323163,-0.10449498081364202,4.841866351167427
543037,"Cole, Gerrit",2022,"R",3578,147,40,-1.7982966036198287,5.737964986014043,-0.12428099454579333,4.346283996103139
543294,"Hendricks, Kyle",2022,"R",1347,112,47,-1.4765402596565842,6.2435418312618935,0.15309898559815371,4.475583322680494
571710,"Givens, Mychal",2022,"R",1044,121,5,-2.753182744582036,4.55180689230449,-0.5711473417405972,4.34266410607085
623167,"Flexen, Chris",2022,"R",2200,136,66,-0.5848232550621941,6.9120614744107485,0.3321181671122998,4.844729002754819
665152,"Kremer, Dean",2022,"R",1867,110,38,-1.7917996541289163,5.889546204052478,-0.031931876374253265,4.539055606619145
665665,"Sanmartin, Reiver",2022,"L",1020,113,21,2.4509208193575587,5.261970860830846,0.4253787119464539,4.483278117682011
621121,"McCullers Jr., Lance",2022,"R",1022,117,25,-2.3190136892610687,5.256156746503719,-0.26835541910412974,4.301800191334319
506433,"Darvish, Yu",2022,"R",3352,135,40,-1.7738461408128088,5.468337091366894,-0.21410302743141083,4.173846995780848
672578,"Hernández, Carlos",2022,"R",1001,118,42,-1.6307060933801787,6.110521404995497,0.1812884495183961,4.451492335828172
425794,"Wainwright, Adam",2022,"R",3132,138,46,-1.609926744850162,6.305534382186044,-0.1122170234574731,4.744019084011173
605507,"Thompson, Zach",2022,"R",2079,134,47,-1.6044756131279525,6.636861512053892,0.08365662516001195,4.820962989027881
682051,"Hill, Garrett",2022,"R",1019,116,36,-1.7453576458000604,5.306058047629836,-0.034658393465335106,4.077214050071804
502085,"Robertson, David",2022,"R",1182,143,42,-1.432441626103265,5.786394565948635,0.11187842488787528,4.415631407611497
596295,"Gomber, Austin",2022,"L",2058,115,55,0.9351530946868968,6.63503861763472,-0.3912398824031774,4.719006943253485
675911,"Strider, Spencer",2022,"R",2328,144,46,-1.4441679319342706,5.692365995298998,-0.019563887816919954,4.236831630280981
622663,"Severino, Luis",2022,"R",1808,147,43,-1.3934924061341365,5.997710781214113,0.18372924603268498,4.537997006767307
608328,"De Jong, Chase",2022,"R",1174,134,51,-1.2196365977548471,6.17989621915373,0.19805593154715817,4.435035235433804
689225,"Brieske, Beau",2022,"R",1287,116,49,-1.1475583311935456,6.038119126255205,0.37608954019836355,4.29326563392045
656970,"Smeltzer, Devin",2022,"L",1129,142,33,2.0951596632032072,5.883636040846658,0.21287780401314244,4.64196819602791
608331,"Fried, Max",2022,"L",2878,144,50,1.396724264968208,6.0342143221176014,-0.14623166222582287,4.214899438824743
592716,"Sampson, Adrian",2022,"R",1607,112,36,-2.087705548368803,5.744222726384226,-0.25306664625685094,4.420287432378624
663372,"Feltner, Ryan",2022,"R",1675,115,35,-1.7880419534019232,5.234501327709434,-0.015248846303243153,3.9716573837763063
676684,"Vest, Will",2022,"R",1083,116,44,-1.5131284220553909,5.64276287644245,-0.00006717879462706487,4.184476521117972
592717,"Sanchez, Aaron",2022,"R",1004,142,30,-1.8838632807662303,5.708354927014695,0.03347614781515642,4.579171140393858
664141,"Brubaker, JT",2022,"R",2376,134,44,-1.4431015078787142,6.201935912483282,0.2669044320207422,4.556139555049905
641360,"Bickford, Phil",2022,"R",990,119,29,-2.158012071850222,5.093091324980571,-0.16854440456255965,3.9775225871009576
