"pitcher","pitcher_name","year","pitch_hand","n_pitches","team_id","ball_angle","relative_release_ball_x","release_ball_z","relative_shoulder_x","shoulder_z"
548389,"Stripling, Ross",2023,"R",1453,137,65,-0.8877795842224562,6.938135463624039,0.11738052857631821,4.795134010584777
593958,"Rodriguez, Eduardo",2023,"L",2369,116,38,2.046316775172236,5.808682678634589,0.2093528781972131,4.38409910421976
543272,"Hand, Brad",2023,"L",990,144,35,2.244364403767495,6.105224868103035,0.4051472487801364,4.8034684591908485
571945,"Mikolas, Miles",2023,"R",3197,138,47,-1.7304615759839235,6.553413400539931,-0.03808546620968745,4.7082247027767234
656427,"Flaherty, Jack",2023,"R",2677,110,30,-1.8970597718591464,5.4048281374113465,0.06218333007057542,4.285862063481275
664875,"Lawrence, Justin",2023,"R",1183,115,-5,-3.268193451514212,4.243860761943606,-0.820664374464148,4.443003524529765
605483,"Snell, Blake",2023,"L",3107,135,58,1.0855718822422384,6.594768443671442,-0.20412877408095206,4.567750712897741
675627,"Grove, Michael",2023,"R",1179,119,51,-1.2078569892279603,6.063924842604309,0.1315213903743314,4.386230669741875
500779,"Quintana, Jose",2023,"L",1229,121,46,1.7307176811555662,5.791975275763126,0.17735116161857875,4.19710638679912
571948,"Milner, Hoby",2023,"L",1054,158,-2,2.893450812397331,4.265139961673107,0.6540448780978667,4.358898122169345
623149,"Sewald, Paul",2023,"R",1158,109,17,-2.6166394473251375,4.429744454518547,-0.6337295142833395,3.811556905999959
660271,"Ohtani, Shohei",2023,"R",2094,108,36,-1.9946456234892538,5.692902462643961,-0.1742425853001616,4.389658160996449
663855,"Hicks, Jordan",2023,"R",1087,141,40,-1.8391716183022842,5.930053245748188,-0.06606240843414388,4.460103742413587
666159,"Manning, Matt",2023,"R",1180,116,44,-1.6869632303724593,5.447208742427791,-0.13792671825432787,3.9296069486993566
607536,"Freeland, Kyle",2023,"L",2413,115,24,2.2417938882430937,5.708792046368538,0.16267679425837323,4.763515026597613
656945,"Scott, Tanner",2023,"L",1217,146,33,2.3330720437398633,5.085652573726935,0.4598617741531513,3.8752316887762057
641585,"France, J.P.",2023,"R",2268,117,42,-1.3719543747403555,5.524125899617134,0.09458368064397481,4.195144976217198
643377,"Jax, Griffin",2023,"R",1096,142,46,-1.3878672325482868,5.5029683818133615,0.2055737757296018,3.831351410492864
621107,"Eflin, Zach",2023,"R",2581,139,33,-2.3797286542165828,5.922846620642351,-0.300257475200992,4.5871636415779315
676664,"Sears, JP",2023,"L",2865,133,23,2.2331990364487297,4.75873547519001,0.2416301577835641,3.915344698385143
621112,"Blackburn, Paul",2023,"R",1874,133,49,-1.474157202408962,5.952407337438089,0.04145943500229235,4.1850627184647085
650556,"Abreu, Bryan",2023,"R",1340,117,42,-1.7469599782247156,5.697676768191765,-0.008672946430946925,4.110505418429241
543037,"Cole, Gerrit",2023,"R",3279,147,42,-1.7204050883057338,5.924296850308951,-0.07347875982797683,4.436434745468791
693821,"Elder, Bryce",2023,"R",2893,144,53,-1.1753873765101799,6.5145140530036,0.23103555789282995,4.654986619093485
543294,"Hendricks, Kyle",2023,"R",2108,112,45,-1.7673522639248171,6.069125452688104,-0.05445196864842196,4.33158074815574
623167,"Flexen, Chris",2023,"R",1752,115,70,-0.35468068484314824,6.8030986408710525,0.4593618180699016,4.622800873867603
665152,"Kremer, Dean",2023,"R",2978,110,37,-1.8956502766327756,5.853734768148932,-0.089953459954102,4.472291173926679
506433,"Darvish, Yu",2023,"R",2037,135,40,-1.7987414910361907,5.487136736215755,-0.2169155548379927,4.154564943115639
672578,"Hernández, Carlos",2023,"R",1250,118,41,-1.6141674862810371,6.039710835501012,0.28601505276292327,4.358945780606067
425794,"Wainwright, Adam",2023,"R",1679,138,46,-1.645918212317916,6.229107646841847,-0.07783005985652694,4.633185205681169
621381,"Strahm, Matt",2023,"L",1459,143,33,2.142209092147208,5.453309975269618,0.06015026188181047,4.116471455860056
502085,"Robertson, David",2023,"R",1086,146,42,-1.4752082604566337,5.766533693835336,0.06177716382216705,4.364030122725466
596295,"Gomber, Austin",2023,"L",2160,115,54,0.9891606712616715,6.597017815775865,-0.4264206925051168,4.660265374249027
663623,"Irvin, Jake",2023,"R",2147,120,32,-2.0489074359988546,5.876982863754102,-0.03414680742602329,4.625713586673603
675911,"Strider, Spencer",2023,"R",3189,144,48,-1.5129243435083533,5.84178943819666,-0.09954239204618807,4.293053294217141
621383,"Banks, Tanner",2023,"L",1007,145,48,1.7032548863623338,6.304065831100678,0.1522071542871912,4.553407424410589
622663,"Severino, Luis",2023,"R",1636,147,43,-1.4843381331372592,6.050030018854662,0.11883252264119692,4.579468219462717
670280,"Bednar, David",2023,"R",1049,134,38,-1.8242749035734631,5.865552586174129,-0.09922588349145013,4.504548879588237
677960,"Weathers, Ryan",2023,"L",1072,146,38,1.7286003859897707,5.812533958971287,-0.021210137647324857,4.421376539262242
519242,"Sale, Chris",2023,"L",1579,111,13,3.1234875050778483,5.236870781851651,0.8055889746099375,4.694444421715945
664139,"Gibaut, Ian",2023,"R",1214,113,45,-1.581925335800058,5.757448608212325,0.041277588708090666,4.143475563244619
608331,"Fried, Max",2023,"L",1298,144,49,1.4466164724988577,5.980330742508047,-0.11247092963533636,4.15488371510812
660813,"Graterol, Brusdar",2023,"R",962,119,37,-2.2266271068503327,6.28171297074795,-0.3776208221693518,4.874019215204509
621389,"Blach, Ty",2023,"L",1263,115,22,2.3502974613942422,5.743384829562862,0.1428598698314711,4.873277343153485
623437,"Topa, Justin",2023,"R",1042,136,12,-2.8529931518123943,4.896980460079923,-0.5269705724114813,4.392057063151556
656464,"Ginkel, Kevin",2023,"R",1165,109,41,-1.7984499422159685,6.424681683532255,0.016907298126429667,4.87300166609289
641360,"Bickford, Phil",2023,"R",1229,121,28,-2.256912390224671,5.091718424222521,-0.17942623366677826,3.993657064929676
608337,"Giolito, Lucas",2023,"R",3190,114,51,-1.4125641091339276,6.325910335509836,0.09174520521460253,4.444616704384813
657746,"Ryan, Joe",2023,"R",2708,142,27,-1.9701752797661556,4.999383012946544,0.05570853459216374,3.948710984354801
612434,"Castro, Miguel",2023,"R",1067,109,17,-2.67797612167915,5.00511683627074,-0.2816353988643255,4.261804789278752
643410,"Leiter Jr., Mark",2023,"R",1045,112,49,-1.4173028918938624,5.699986324536106,0.04556233434826737,4.022338008938242
600917,"Leclerc, José",2023,"R",1188,140,44,-1.4523085493442234,5.9721321346848155,0.23129175864407586,4.372748042441648
657240,"Merryweather, Julian",2023,"R",1214,112,55,-1.1763265560614238,6.091326178855314,0.2638471989739434,4.040340112090964
666200,"Luzardo, Jesús",2023,"L",3078,146,35,2.0321232893940606,5.809784893008853,0.12330200751929346,4.475611657916161
608344,"Irvin, Cole",2023,"L",1268,110,42,1.9336807334096737,6.20335790901898,0.22535904690812372,4.652408495490252
676440,"Bibee, Tanner",2023,"R",2321,114,59,-1.0760590696807526,6.3651287703831,0.06155475769172573,4.444585943731614
666201,"Manoah, Alek",2023,"R",1684,141,37,-2.3474370161225253,5.794065145359726,-0.3524018704404672,4.276837027110566
656731,"Megill, Tylor",2023,"R",2235,121,41,-1.8430041987887567,5.978034802539424,-0.08986443104555226,4.43224049049516
607067,"Rea, Colin",2023,"R",1993,158,38,-1.900563661978681,5.6303871958677485,-0.12118515942161187,4.264332282552216
641627,"Gott, Trevor",2023,"R",964,121,34,-1.9015566200009066,5.285518706222243,-0.13430287849202305,4.109444805789158
657756,"Seabold, Connor",2023,"R",1562,115,31,-2.174488313435224,5.53280558900052,-0.3225697945980862,4.428168233799167
666205,"Muller, Kyle",2023,"L",1453,133,36,2.2724712914871503,6.076059952299692,0.17722002857202454,4.546846695447245
628317,"Maeda, Kenta",2023,"R",1768,142,40,-1.8926187019244114,5.762992889187893,-0.16120939710520152,4.328211517994696
642397,"Soto, Gregory",2023,"L",1025,143,36,2.2146193880830536,5.721503262649233,0.27238352019477413,4.3323708136168
666974,"Cano, Yennier",2023,"R",1037,110,15,-2.9586333239526414,5.364244090711099,-0.491417155702467,4.724117928189948
669022,"Gore, MacKenzie",2023,"L",2459,120,50,1.427657553803525,5.992221959528552,-0.006977134452435255,4.260540824168776
663903,"Singer, Brady",2023,"R",2611,118,30,-1.8655453667362685,5.278755351167538,-0.06331829497580169,4.2352930316752575
606303,"Payamps, Joel",2023,"R",1133,158,30,-2.0040639290831423,5.6798964218852355,0.0907817375509941,4.477244909795745
682847,"Ortiz, Luis",2023,"R",1460,134,31,-1.8734842968105616,5.30765707399638,0.09144503906917689,4.109219940053233
605280,"Holmes, Clay",2023,"R",1021,147,46,-1.6285781644512938,6.559541289675536,0.09990511652795747,4.763033304788389
502624,"Anderson, Chase",2023,"R",1446,115,46,-1.5109565243585554,5.844881217946972,0.06442865671604989,4.2270341409580325
607074,"Rodón, Carlos",2023,"L",1133,147,47,1.5776649894251276,6.428471621942104,-0.05194527983222493,4.681115062624586
657508,"Baumann, Mike",2023,"R",1069,110,48,-1.4459692219921614,6.088270016581006,0.12940199355020524,4.3679293841679865
605540,"Woodruff, Brandon",2023,"R",1043,158,43,-1.604967419538799,5.829377327211369,0.06960513985948254,4.277600859562861
554340,"García, Yimi",2023,"R",1124,141,26,-2.565963343904816,5.102682652218885,-0.34008774256062824,4.028058255545827
679525,"Marsh, Alec",2023,"R",1342,118,37,-2.1463914628621494,5.670012978145624,-0.28473672983893483,4.2874107089347
666214,"Wentz, Joey",2023,"L",1930,116,40,1.710877197192727,6.036720944709562,-0.18643550839082712,4.43275214721121
676710,"Crawford, Kutter",2023,"R",2006,111,48,-1.4619905130982545,5.953048764437516,0.013417956913572986,4.309178477668598
471911,"Carrasco, Carlos",2023,"R",1522,121,35,-2.0760119851375602,5.791473162500702,-0.1660113188974072,4.465942244818133
656232,"Bielak, Brandon",2023,"R",1377,117,46,-1.5635231731892902,6.223254177603535,0.0809055486299623,4.522410556286949
605288,"Houser, Adrian",2023,"R",1856,158,41,-1.8336444945806845,5.881305044151375,-0.08356471327755238,4.33870124537079
623465,"Phillips, Evan",2023,"R",958,119,26,-2.173040586859322,5.207810742835401,-0.1340783869953371,4.232552832884905
656234,"Bird, Jake",2023,"R",1391,115,19,-2.46813675892875,5.2684558941510184,-0.22595833650498304,4.481668407357717
547179,"Lorenzen, Michael",2023,"R",2400,143,41,-1.7509949009194767,5.74125020303709,0.011806262217765897,4.191427056632502
623211,"Brazobán, Huascar",2023,"R",1032,146,36,-2.1726333920731133,5.739639343631848,-0.05729350498832375,4.215318325094308
657006,"Steele, Justin",2023,"L",2589,112,47,1.5957852952955045,6.104007687300824,0.04877589431221767,4.426998732330458
571760,"Heaney, Andrew",2023,"L",2769,140,29,2.322743048923909,5.00408962629095,0.33729336288768785,3.9113874207307933
601713,"Pivetta, Nick",2023,"R",2277,111,55,-1.0333076125174487,6.592999140058933,0.28075848510682266,4.682222124288692
671345,"Foley, Jason",2023,"R",1046,116,31,-2.244936827060831,5.677278158674674,-0.11252519972529254,4.375527344642011
608371,"Sims, Lucas",2023,"R",1057,113,39,-1.5269634709787359,5.707312381105162,0.18817303605367497,4.319264342377536
543859,"Tonkin, Michael",2023,"R",1298,144,15,-2.892275478030056,5.318495951493906,-0.5716630211981134,4.715291120371663
656756,"Montgomery, Jordan",2023,"L",3373,140,47,1.5553742771013943,6.698408054827951,-0.13379745137146037,4.903739923493315
425844,"Greinke, Zack",2023,"R",2218,118,44,-1.5872130636346153,6.209668195612899,-0.029719410663683457,4.717702325086114
572020,"Paxton, James",2023,"L",1688,111,45,1.7148553701230376,6.0791969389716085,-0.015518070040381504,4.338786313370671
660853,"De Los Santos, Enyel",2023,"R",1048,114,25,-2.404702209271417,5.423970801108609,-0.2729653578329321,4.4305623895272905
669302,"Gilbert, Logan",2023,"R",2872,136,52,-1.1952183104551906,6.204773539460476,0.2503671628210665,4.334914859929791
571510,"Boyd, Matthew",2023,"L",1178,116,24,2.595283615897837,5.314410854647734,0.3605792150507371,4.322778073807082
671096,"Abbott, Andrew",2023,"L",1896,113,46,1.5405720265849863,5.782169467755769,0.04252768371541174,4.233243946492101
641656,"Hamilton, Ian",2023,"R",979,147,42,-1.5503634701062503,6.073636132714792,0.11644154472077627,4.595994593140441
666745,"Brito, Jhony",2023,"R",1445,147,50,-1.1770979647282287,6.112555281967463,0.45566082434357835,4.198550220380068
542585,"Cisnero, José",2023,"R",986,116,29,-2.3072138256573616,5.350453271434115,-0.2217619094235518,4.184795102558817
680570,"Rodriguez, Grayson",2023,"R",2127,110,42,-1.6692391626320142,5.779626473408984,0.10053290827464892,4.1682329454421385
608379,"Wacha, Michael",2023,"R",2220,135,53,-1.1713203148277982,6.579261856320217,0.22269330213903757,4.719214736755475
657277,"Webb, Logan",2023,"R",3180,137,22,-2.601119200696301,5.020936310687254,-0.4582483530084418,4.1525052628673
543101,"DeSclafani, Anthony",2023,"R",1547,137,35,-1.7993668978641622,5.516195122744969,-0.05772065345266037,4.280993598788754
676477,"Whitlock, Garrett",2023,"R",1144,111,36,-2.018686479788498,5.7075541660569815,-0.22899706856200844,4.3910054110105605
686973,"Varland, Louie",2023,"R",1110,142,36,-2.1213532909371082,5.456340672670813,-0.27674067824508997,4.106245399704514
592767,"Smyly, Drew",2023,"L",2400,112,46,1.647841442913076,6.4388071368666235,-0.01734871980837791,4.685048288844328
657024,"Swanson, Erik",2023,"R",1086,141,48,-1.5688012211916489,6.040544220204891,-0.12648953091197962,4.427588112355273
681857,"Olson, Reese",2023,"R",1710,116,38,-2.054870708920301,5.936899290837644,-0.13664435464031444,4.451814910717074
671106,"Allen, Logan",2023,"L",2133,114,43,1.3060874521999932,5.2296477215782105,-0.2901367556177307,3.7171433501474587
641154,"López, Pablo",2023,"R",3221,142,36,-2.209310111790273,5.5297803803980665,-0.25017628887630805,4.102801435709618
691587,"Pérez, Eury",2023,"R",1534,146,32,-2.1742494441631393,5.942163514066831,0.018352320195590376,4.569683093725815
669060,"Wilson, Bryse",2023,"R",1162,158,43,-1.9102395455094785,5.682801304827638,-0.22449236541275874,4.101744710545776
663941,"Beck, Tristan",2023,"R",1298,137,45,-1.7085138117517369,6.048012036110465,-0.07753733132558246,4.398984396534911
547973,"Chapman, Aroldis",2023,"L",1136,140,49,1.4278235234100698,6.085284391798717,-0.15811211619090662,4.2293068010783115
663687,"Harris, Hogan",2023,"L",1109,133,49,1.7302813805077113,5.9901485967028,0.19283130005834614,4.2181793767248665
664199,"Clarke, Taylor",2023,"R",1066,118,53,-1.256921392962783,6.079830917344156,0.19445715779915923,4.127369476661551
641927,"Ober, Bailey",2023,"R",2407,142,31,-2.3538924061776894,5.835417272794602,-0.2577271229487376,4.563584855112874
607625,"Lugo, Seth",2023,"R",2253,135,39,-1.974534963976029,5.626801663140575,-0.07556737279586806,4.061757192430296
650633,"King, Michael",2023,"R",1642,147,31,-1.9108370386525668,5.650913915500726,0.009936219742021475,4.480639093666477
686218,"Sheehan, Emmet",2023,"R",1102,119,30,-2.2027017537518496,5.339391229773646,-0.19692957667310457,4.184050471917852
663947,"Holton, Tyler",2023,"L",1195,116,46,1.5225299591324584,5.860028563974506,-0.0574943005989007,4.208572477867529
645261,"Alcantara, Sandy",2023,"R",2718,146,34,-2.303571066674838,6.028328582098036,-0.14747938438402977,4.589227706030574
664208,"Maton III, Phil",2023,"R",1111,117,31,-2.054743301423536,5.382357896195619,-0.14515985726914943,4.253884350386911
595345,"Okert, Steven",2023,"L",1035,146,32,2.474660501320647,5.716233625105683,0.42924960637922266,4.452214624075366
669330,"Wells, Tyler",2023,"R",1948,110,51,-1.4477815414660917,6.911644720593402,0.14828173285274535,4.972796033364813
661395,"Duran, Jhoan",2023,"R",1074,142,39,-1.8235675383252863,6.060865611539616,0.06512742342916514,4.555477632138009
594580,"Moll, Sam",2023,"L",1025,113,18,2.1186138318349914,5.061280523208435,0.0532976146254511,4.374845602539019
650644,"Civale, Aaron",2023,"R",2008,139,47,-1.287611960922488,6.348913880152507,0.23024365745573872,4.72147889387193
592789,"Syndergaard, Noah",2023,"R",1408,114,40,-1.7692387865292758,6.3152738026529756,0.0016691484742140871,4.830671221932725
641941,"Pagán, Emilio",2023,"R",1089,142,41,-1.5596652708035559,5.603502540629004,0.18713284964373927,4.087058820583079
